,kata
0,"['fakta-fakta', 'baru', 'terkait', 'tragedi', 'di', 'stadion', 'kanjuruhan', 'malang', 'jawa', 'timur', 'terungkap']"
1,"['mulai', 'dari', 'ada', 'enam', 'tersangka', 'yang', 'dianggap', 'bertanggung', 'jawab', 'hingga', 'soal', 'siapa', 'yang', 'memerintahkan', 'menembak', 'gas', 'air', 'mata', 'ke', 'arah', 'tribun', 'penonton']"
2,"['berikut', 'fakta', 'terbaru', 'tragedi', 'kanjuruhan', 'yang', 'diungkap', 'oleh', 'kapolri', 'jenderal', 'listyo', 'sigit', 'prabowo:']"
3,"['kapolri', 'jenderal', 'listyo', 'sigit', 'prabowo', 'mengumumkan', 'tersangka', 'tragedi', 'kanjuruhan']"
4,"['direktur', 'utama', 'pt', 'lib', 'akhmad', 'hadian', 'lukita', 'menjadi', 'salah', 'satu', 'yang', 'ditetapkan', 'sebagai', 'tersangka']"
5,['advertisement']
6,"['scroll', 'to', 'resume', 'content']"
7,"['berdasarkan', 'gelar', 'dan', 'alat', 'bukti', 'permulaan', 'yang', 'cukup', 'maka', 'ditetapkan', 'saat', 'ini', 'enam', 'tersangka', 'kata', 'kapolri', 'dalam', 'jumpa', 'pers', 'kamis', '(//)']"
8,"['lima', 'tersangka', 'lainnya', 'ialah', 'kabag', 'ops', 'polres', 'malang', 'wahyu', 'ss', 'ketua', 'panitia', 'pelaksana', 'pertandingan', 'berinisial', 'ah', 'security', 'officer', 'berinisial', 'ss', 'danki', 'brimob', 'polda', 'jatim', 'berinisial', 'h', 'dan', 'kasat', 'samapta', 'polres', 'malang', 'berinisial', 'tsa']"
9,"['kapolri', 'menyebut', 'pt', 'liga', 'indonesia', 'baru', '(lib)', 'tidak', 'melakukan', 'verifikasi', 'stadion', 'kanjuruhan', 'khususnya', 'terkait', 'keselamatan', 'penonton']"
10,"['verifikasi', 'stadion', 'dilakukan', 'pada', 'tahun']"
11,"['kita', 'melakukan', 'olah', 'tkp']"
12,"['berdasarkan', 'hasil', 'pendalaman', 'ditemukan', 'bahwa', 'pt', 'lib', 'selaku', 'penyelenggara', 'liga', 'tidak', 'melakukan', 'verifikasi', 'terhadap', 'stadion', 'kanjuruhan', 'ujar', 'sigit']"
13,"['sigit', 'menyebut', 'verifikasi', 'terakhir', 'yang', 'dilakukan', 'pt', 'lib', 'digelar', 'pada']"
14,"['catatan', 'terkait', 'kanjuruhan', 'katanya', 'tidak', 'dipenuhi', 'pt', 'lib']"
15,"['verifikasi', 'terakhir', 'dilakukan', 'pada', 'tahun', 'dan', 'ada', 'beberapa', 'catatan', 'yang', 'seharusnya', 'dipenuhi', 'khususnya', 'terkait', 'dengan', 'masalah', 'keselamatan', 'bagi', 'penonton', 'ujarnya']"
16,"['sigit', 'menyebut', 'verifikasi', 'kanjuruhan', 'tidak', 'dikeluarkan', 'pada', 'dan', 'masih', 'merujuk', 'verifikasi']"
17,"['dia', 'menyatakan', 'tak', 'ada', 'perbaikan', 'atas', 'catatan', 'hasil', 'verifikasi', 'kanjuruhan']"
18,"['di', 'tahun', 'tidak', 'dikeluarkan', 'verifikasi', 'dan', 'menggunakan', 'hasil', 'yang', 'dikeluarkan', 'pada', 'tahun', 'dan', 'belum', 'ada', 'perbaikan', 'terhadap', 'catatan', 'hasil', 'verifikasi', 'tersebut', 'katanya']"
19,"['dia', 'juga', 'menyebut', 'tim', 'menemukan', 'fakta', 'tidak', 'adanya', 'rencana', 'darurat', 'untuk', 'menangani', 'situasi', 'khusus', 'dari', 'laga', 'arema', 'versus', 'persebaya']"
20,"['padahal', 'kata', 'sigit', 'penonton', 'yang', 'datang', 'lebih', 'dari', 'ribu']"
21,"['tentunya', 'kelalaian', 'tersebut', 'menimbulkan', 'pertanggungjawaban', 'ujar', 'kapolri']"
22,"['jenderal', 'sigit', 'menyebut', 'ada', 'sebelas', 'tembakan', 'gas', 'air', 'mata', 'dalam', 'tragedi', 'di', 'stadion', 'kanjuruhan', 'malang']"
23,"['sigit', 'menyebut', 'tembakan', 'gas', 'air', 'mata', 'itu', 'dilakukan', 'untuk', 'mencegah', 'penonton', 'saat', 'itu', 'turun', 'ke', 'lapangan']"
24,"['dengan', 'semakin', 'bertambahnya', 'penonton', 'yang', 'turun', 'ke', 'lapangan', 'beberapa', 'personel', 'menembakkan', 'gas', 'air', 'mata']"
25,"['terdapat', 'sebelas', 'personel', 'yang', 'tembakkan', '(gas)', 'air', 'mata', 'kata', 'sigit']"
26,"['dari', 'sebelas', 'tembakan', 'itu', 'kata', 'sigit', 'ada', 'delapan', 'tembakan', 'gas', 'air', 'mata', 'yang', 'mengarah', 'ke', 'tribun']"
27,"['tembakan', 'inilah', 'yang', 'kemudian', 'membuat', 'para', 'penonton', 'kocar-kacir']"
28,"['ke', 'tribun', 'selatan', 'kurang', 'lebih', 'tujuh', 'tembakan', 'ke', 'tribun', 'utara', 'satu', 'tembakan', 'dan', 'ke', 'lapangan', 'tiga', 'tembakan', 'ucap', 'sigit']"
29,"['tentu', 'lah', 'ini', 'yang', 'kemudian', 'mengakibatkan', 'para', 'penonton', 'terutama', 'yang', 'ada', 'di', 'tribun', 'yang', 'ditembakkan', 'tersebut', 'kemudian', 'panik', 'merasa', 'pedih', 'dan', 'kemudian', 'berusaha', 'untuk', 'segera', 'meninggalkan', 'arena', 'imbuhnya']"
30,"['sigit', 'menyebut', 'alasan', 'personel', 'polri', 'menembakkan', 'gas', 'air', 'mata']"
31,"['dia', 'mengatakan', 'keputusan', 'ini', 'dilakukan', 'untuk', 'meredam', 'rencana', 'para', 'penonton', 'turun', 'ke', 'dalam', 'lapangan']"
32,"['di', 'satu', 'sisi', 'tembakan', 'tersebut', 'dilakukan', 'dengan', 'maksud', 'untuk', 'mencegah', 'agar', 'penonton', 'yang', 'kemudian', 'turun', 'ke', 'lapangan', 'itu', 'bisa', 'dicegah', 'imbuhnya']"
33,"['simak', 'berita', 'selengkapnya', 'di', 'halaman', 'selanjutnya']"
34,"['simak', 'video:', 'yang', 'diketahui', 'sejauh', 'ini', 'tentang', 'tragedi', 'kanjuruhan']"
35,"['[gambas:video', 'detik]']"
36,"['jenderal', 'sigit', 'juga', 'mengumumkan', 'ada', 'tiga', 'polisi', 'yang', 'ikut', 'ditetapkan', 'sebagai', 'tersangka']"
37,"['salah', 'satu', 'yang', 'ditetapkan', 'tersangka', 'adalah', 'kabag', 'ops', 'polres', 'malang', 'wahyu', 's']"
38,"['wahyu', 'disebut', 'mengetahui', 'terkait', 'adanya', 'aturan', 'fifa', 'tentang', 'penggunaan', 'gas', 'air', 'mata', 'tapi', 'tidak', 'mencegah', 'atau', 'melarang', 'pemakaian', 'gas', 'air', 'mata']"
39,"['selain', 'itu', 'danki', 'brimob', 'polda', 'jatim', 'berinisial', 'h', 'menjadi', 'tersangka', 'karena', 'memerintahkan', 'anggotanya', 'menembakkan', 'gas', 'air', 'mata', 'di', 'stadion', 'kanjuruhan']"
40,"['kemudian', 'saudara', 'h', 'brimob', 'polda', 'yang', 'bersangkutan', 'memerintahkan', 'anggotanya', 'untuk', 'melakukan', 'penembakan', 'gas', 'air', 'mata', 'ujar', 'kapolri', 'dalam', 'jumpa', 'pers', 'kamis', '(//)']"
41,"['kasat', 'samapta', 'polres', 'malang', 'bambang', 'sidik', 'achmadi', 'juga', 'menjadi', 'tersangka']"
42,"['dia', 'juga', 'memerintahkan', 'anggotanya', 'menembakkan', 'gas', 'air', 'mata']"
43,"['kasat', 'samapta', 'polres', 'malang', 'pidana', 'pasal', 'pasal', 'memerintahkan', 'anggotanya', 'untuk', 'melakukan', 'penembakan', 'gas', 'air', 'mata', 'ujarnya']"
44,"['kapolri', 'mengatakan', 'panitia', 'pertandingan', 'telah', 'mengirim', 'surat', 'kepada', 'polres', 'malang', 'pada', 'september', 'soal', 'permohonan', 'rekomendasi', 'pertandingan', 'arema', 'fc', 'dan', 'persebaya', 'pada', 'oktober', 'yang', 'akan', 'dilaksanakan', 'pukul']"
45,['wib']
46,"['kemudian', 'polres', 'menanggapi', 'surat', 'dari', 'panpel', 'tersebut', 'dan', 'mengirimkan', 'secara', 'resmi', 'untuk', 'mengubah', 'jadwal', 'pelaksanaan', 'menjadi', 'pukul']"
47,"['waktu', 'indonesia', 'barat', 'dengan', 'pertimbangan', 'faktor', 'keamanan']"
48,"['namun', 'demikian', 'permintaan', 'tersebut', 'ditolak', 'oleh', 'pt', 'lib', 'dengan', 'alasan', 'apabila', 'waktunya', 'digeser', 'tentunya', 'ada', 'pertimbangan', 'yang', 'terkait', 'masalah', 'penayangan', 'langsung', 'ekonomi', 'dan', 'sebagainya', 'yang', 'mengakibatkan', 'dampak', 'yang', 'bisa', 'memunculkan', 'penalti', 'atau', 'ganti', 'rugi', 'ucap', 'sigit']"
49,"['setelah', 'itu', 'polres', 'malang', 'melakukan', 'persiapan', 'pengamanan', 'pertandingan']"
50,"['personel', 'pengamanan', 'pun', 'ditambah', 'dan', 'suporter', 'yang', 'diizinkan', 'menonton', 'hanya', 'suporter', 'arema', 'yaitu', 'aremania']"
51,"['oleh', 'karena', 'itu', 'kemudian', 'kapolres', 'melakukan', 'persiapan', 'untuk', 'melakukan', 'pengamanan', 'dengan', 'melaksanakan', 'berbagai', 'macam', 'rakor', 'dan', 'juga', 'menambah', 'jumlah', 'dari', 'yang', 'semula']"
52,"['personel', 'menjadi']"
53,['personel']
54,"['khusus', 'untuk', 'suporter', 'yang', 'hadir', 'hanya', 'dari', 'suporter', 'arema', 'katanya']"
